State,County,Year,Month,prcp,tmax,tmin
California,Yuba,1980,7,10.53196907043457,,
California,Alameda,1980,8,0.0,,
California,Alpine,1980,8,4.525524616241455,,
California,Amador,1980,8,0.4367292523384094,,
California,Butte,1980,8,0.3925454318523407,,
California,Calaveras,1980,8,0.022478634491562843,,
California,Colusa,1980,8,0.0,,
California,Contra Costa,1980,8,0.0,,
California,Del Norte,1980,8,0.0,,
California,El Dorado,1980,8,2.290194034576416,,
California,Fresno,1980,8,0.0,,
California,Glenn,1980,8,0.0,,
California,Humboldt,1980,8,0.0,,
California,Imperial,1980,8,1.0753157138824463,,
California,Inyo,1980,8,0.0,,
California,Kern,1980,8,0.0,,
California,Kings,1980,8,0.0,,
California,Lake,1980,8,0.0,,
California,Lassen,1980,8,6.638373374938965,,
California,Los Angeles,1980,8,0.0,,
California,Madera,1980,8,0.07242376357316971,,
California,Marin,1980,8,0.0,,
California,Mariposa,1980,8,0.0,,
California,Mendocino,1980,8,0.0,,
California,Merced,1980,8,0.0,,
California,Modoc,1980,8,2.536768674850464,,
California,Mono,1980,8,1.222139835357666,,
California,Monterey,1980,8,0.0,,
California,Napa,1980,8,0.0,,
California,Nevada,1980,8,0.07599048316478729,,
California,Orange,1980,8,0.0,,
California,Placer,1980,8,0.052737992256879807,,
California,Plumas,1980,8,0.5880100727081299,,
California,Riverside,1980,8,1.3823298215866089,,
California,Sacramento,1980,8,0.0,,
California,San Benito,1980,8,0.0,,
California,San Bernardino,1980,8,0.0,,
California,San Diego,1980,8,0.0,,
California,San Francisco,1980,8,0.0,,
California,San Joaquin,1980,8,0.0,,
California,San Luis Obispo,1980,8,0.0,,
California,San Mateo,1980,8,0.0,,
California,Santa Barbara,1980,8,0.0,,
California,Santa Clara,1980,8,0.0,,
California,Santa Cruz,1980,8,0.0,,
California,Shasta,1980,8,0.0,,
California,Sierra,1980,8,1.728150486946106,,
California,Siskiyou,1980,8,0.0,,
California,Solano,1980,8,0.0,,
California,Sonoma,1980,8,0.0,,
California,Stanislaus,1980,8,0.0,,
California,Sutter,1980,8,0.006163434591144323,,
California,Tehama,1980,8,0.0,,
California,Trinity,1980,8,0.0,,
California,Tulare,1980,8,0.0,,
California,Tuolumne,1980,8,0.35662341117858887,,
California,Ventura,1980,8,0.0,,
California,Yolo,1980,8,0.0,,
California,Yuba,1980,8,0.32170602679252625,,
California,Alameda,1980,9,0.0,,
California,Alpine,1980,9,15.482051849365234,,
California,Amador,1980,9,0.8969658613204956,,
California,Butte,1980,9,3.9548356533050537,,
California,Calaveras,1980,9,0.6117256283760071,,
California,Colusa,1980,9,0.40460026264190674,,
California,Contra Costa,1980,9,0.0,,
California,Del Norte,1980,9,4.95709228515625,,
California,El Dorado,1980,9,3.024732828140259,,
California,Fresno,1980,9,1.6650038957595825,,
California,Glenn,1980,9,1.9677176475524902,,
California,Humboldt,1980,9,3.2136130332946777,,
California,Imperial,1980,9,0.6105152368545532,,
California,Inyo,1980,9,5.920999050140381,,
