species,status,County,count
Stagmomantis californica,native,Sonoma,1
Stagmomantis californica,native,Stanislaus,3
Stagmomantis californica,native,Tuolumne,1
Stagmomantis californica,native,Ventura,4
Stagmomantis limbata,native,Alameda,9
Stagmomantis limbata,native,Amador,5
Stagmomantis limbata,native,Butte,11
Stagmomantis limbata,native,Calaveras,5
Stagmomantis limbata,native,Contra Costa,65
Stagmomantis limbata,native,El Dorado,11
Stagmomantis limbata,native,Fresno,5
Stagmomantis limbata,native,Imperial,1
Stagmomantis limbata,native,Inyo,6
Stagmomantis limbata,native,Kern,9
Stagmomantis limbata,native,Lake,4
Stagmomantis limbata,native,Los Angeles,597
Stagmomantis limbata,native,Madera,1
Stagmomantis limbata,native,Mariposa,25
Stagmomantis limbata,native,Merced,3
Stagmomantis limbata,native,Mono,1
Stagmomantis limbata,native,Napa,2
Stagmomantis limbata,native,Nevada,29
Stagmomantis limbata,native,Orange,171
Stagmomantis limbata,native,Placer,24
Stagmomantis limbata,native,Riverside,40
Stagmomantis limbata,native,Sacramento,138
Stagmomantis limbata,native,San Bernardino,55
Stagmomantis limbata,native,San Diego,214
Stagmomantis limbata,native,San Joaquin,25
Stagmomantis limbata,native,San Luis Obispo,3
Stagmomantis limbata,native,San Mateo,1
Stagmomantis limbata,native,Santa Barbara,4
Stagmomantis limbata,native,Santa Clara,59
Stagmomantis limbata,native,Santa Cruz,1
Stagmomantis limbata,native,Shasta,4
Stagmomantis limbata,native,Solano,18
Stagmomantis limbata,native,Stanislaus,9
Stagmomantis limbata,native,Sutter,4
Stagmomantis limbata,native,Tulare,3
Stagmomantis limbata,native,Tuolumne,10
Stagmomantis limbata,native,Ventura,61
Stagmomantis limbata,native,Yolo,75
Stagmomantis limbata,native,Yuba,5
Tenodera sinensis,introduced,Alameda,7
Tenodera sinensis,introduced,Kern,1
Tenodera sinensis,introduced,Los Angeles,9
Tenodera sinensis,introduced,Marin,2
Tenodera sinensis,introduced,Merced,1
Tenodera sinensis,introduced,Orange,1
Tenodera sinensis,introduced,San Benito,1
Tenodera sinensis,introduced,San Diego,4
Tenodera sinensis,introduced,San Francisco,1
Tenodera sinensis,introduced,San Mateo,4
Tenodera sinensis,introduced,Santa Clara,10
Tenodera sinensis,introduced,Tuolumne,1
Tenodera sinensis,introduced,Ventura,2
Thesprotia graminis,native,Del Norte,1
Yersiniops newboldi,native,Inyo,2
Yersiniops newboldi,native,Madera,1
